user_id,company(1th),company(2th),company(3th),company(4th),company(5th),min_exp_time,max_exp_time,company_count_2018,company_count_2017,company_count_2016
114,134,134,213,,,201706,201802,1.0,3.0,3.0
115,289,290,264,,,201210,201702,,1.0,1.0
118,20,21,21,21,,201607,201812,1.0,3.0,4.0
122,300,301,,,,201309,201507,,,
123,303,,,,,201110,201110,,,
125,307,309,307,310,41,201408,201806,2.0,5.0,6.0
126,314,312,,,,201806,201808,2.0,2.0,2.0
128,316,316,,,,201707,201709,,2.0,2.0
130,320,,,,,201603,201603,,,1.0
131,323,321,322,324,324,201109,201806,3.0,3.0,3.0
133,329,330,331,332,333,201406,201804,1.0,2.0,2.0
134,134,134,213,,,201706,201802,1.0,3.0,3.0
135,336,337,337,338,338,200906,201808,1.0,1.0,2.0
136,341,342,,,,201604,201703,,1.0,2.0
139,344,,,,,201604,201604,,,1.0
141,36,37,37,37,37,201103,201803,1.0,1.0,1.0
142,314,312,,,,201806,201808,2.0,2.0,2.0
144,10,7,9,,,201612,201806,1.0,2.0,3.0
145,20,21,21,21,,201607,201812,1.0,3.0,4.0
147,68,,,,,201701,201701,,1.0,1.0
149,260,253,231,257,245,200612,201801,1.0,2.0,2.0
150,345,346,347,348,289,200009,201801,1.0,1.0,1.0
151,323,322,321,324,324,201109,201806,3.0,3.0,3.0
153,93,94,95,96,,200605,201601,,,1.0
154,241,239,239,242,,201505,201806,2.0,2.0,3.0
155,303,,,,,201110,201110,,,
156,260,253,231,257,245,200612,201801,1.0,2.0,2.0
157,90,91,,,,201806,201812,2.0,2.0,2.0
159,341,342,,,,201604,201703,,1.0,2.0
160,345,346,347,348,289,200009,201801,1.0,1.0,1.0
161,345,346,347,348,289,200009,201801,1.0,1.0,1.0
164,289,290,264,,,201210,201702,,1.0,1.0
165,344,,,,,201604,201604,,,1.0
166,191,,,,,201810,201810,1.0,1.0,1.0
167,41,26,26,26,281,200909,201811,1.0,1.0,3.0
169,90,91,,,,201806,201812,2.0,2.0,2.0
170,68,,,,,201701,201701,,1.0,1.0
172,260,253,231,257,258,200612,201801,1.0,2.0,2.0
175,352,354,355,16,353,201306,201809,1.0,1.0,4.0
176,357,,,,,201710,201710,,1.0,1.0
188,374,305,375,375,376,200807,201709,,2.0,3.0
189,23,,,,,201807,201807,1.0,1.0,1.0
192,27,385,,,,201507,201806,1.0,1.0,1.0
193,26,26,,,,201807,201809,2.0,2.0,2.0
194,41,,,,,201403,201403,,,
195,134,134,213,,,201706,201802,1.0,3.0,3.0
196,388,234,389,,,201706,201709,,3.0,3.0
197,393,392,,,,201410,201706,,1.0,1.0
199,395,,,,,201807,201807,1.0,1.0,1.0
201,398,309,399,,,201706,201806,2.0,3.0,3.0
202,402,,,,,201807,201807,1.0,1.0,1.0
206,143,407,408,,,200906,201511,,,
207,134,410,,,,201209,201806,1.0,1.0,1.0
209,47,413,414,88,88,201401,201801,1.0,1.0,2.0
214,427,427,,,,201306,201406,,,
215,429,35,,,,201706,201806,1.0,2.0,2.0
216,430,430,431,,,201608,201811,1.0,1.0,3.0
219,435,,,,,201702,201702,,1.0,1.0
220,437,,,,,201807,201807,1.0,1.0,1.0
221,439,440,441,,,201507,201801,1.0,1.0,1.0
222,5,5,,,,201806,201808,2.0,2.0,2.0
223,26,26,21,21,444,201009,201609,,,2.0
224,59,,,,,201801,201801,1.0,1.0,1.0
226,310,,,,,201806,201806,1.0,1.0,1.0
227,57,,,,,201806,201806,1.0,1.0,1.0
228,450,450,213,451,,201406,201702,,1.0,2.0
230,453,453,453,,,201606,201803,1.0,2.0,3.0
231,68,,,,,201701,201701,,1.0,1.0
233,57,455,,,,201707,201807,1.0,2.0,2.0
234,458,,,,,201802,201802,1.0,1.0,1.0
235,460,461,461,,,200907,201707,,1.0,1.0
236,463,464,465,,,201407,201701,,1.0,1.0
237,468,467,469,,,201407,201706,,1.0,1.0
238,470,403,403,471,,201309,201701,,1.0,2.0
239,473,472,,,,201804,201804,2.0,2.0,2.0
241,476,,,,,201508,201508,,,
243,27,481,482,,,201307,201409,,,
244,484,485,,,,201707,201807,1.0,2.0,2.0
245,52,52,,,,201706,201806,1.0,2.0,2.0
249,203,203,26,,,201702,201710,,3.0,3.0
250,493,47,,,,201412,201806,1.0,1.0,1.0
251,273,494,,,,201305,201608,,,1.0
252,273,,,,,201812,201812,1.0,1.0,1.0
253,496,497,,,,201707,201806,1.0,2.0,2.0
256,502,503,,,,201107,201207,,,
257,95,505,506,507,,201505,201805,1.0,2.0,2.0
258,134,,,,,201809,201809,1.0,1.0,1.0
259,26,270,,,,201306,201801,1.0,1.0,1.0
260,511,,,,,201706,201706,,1.0,1.0
261,514,515,515,,,201409,201806,1.0,1.0,1.0
262,519,,,,,201806,201806,1.0,1.0,1.0
263,521,522,,,,201707,201807,1.0,2.0,2.0
266,528,,,,,201806,201806,1.0,1.0,1.0
268,530,,,,,201806,201806,1.0,1.0,1.0
269,531,,,,,201708,201708,,1.0,1.0
273,529,,,,,201806,201806,1.0,1.0,1.0
274,534,,,,,201806,201806,1.0,1.0,1.0
276,537,494,,,,201310,201607,,,1.0
279,543,47,544,,,201408,201709,,1.0,2.0
280,546,,,,,201801,201801,1.0,1.0,1.0
281,207,221,221,548,,200906,201706,,1.0,2.0
283,551,376,,,,201207,201502,,,
286,555,555,,,,201707,201801,1.0,2.0,2.0
288,557,494,,,,201212,201810,1.0,1.0,1.0
290,561,,,,,201012,201012,,,
291,562,563,564,,,201712,201811,2.0,3.0,3.0
292,570,571,,,,201804,201806,2.0,2.0,2.0
294,579,579,580,578,581,201406,201807,2.0,3.0,4.0
298,590,590,591,,,201506,201703,,1.0,2.0
300,593,594,595,596,,201107,201607,,,1.0
301,357,,,,,201710,201710,,1.0,1.0
302,597,597,598,599,,201307,201806,1.0,2.0,2.0
304,601,602,,,,201207,201302,,,
306,604,340,605,,,201607,201804,1.0,2.0,3.0
308,608,609,,,,201306,201705,,1.0,1.0
309,611,,,,,201809,201809,1.0,1.0,1.0
310,332,333,612,,,201307,201509,,,
311,615,616,376,617,376,201308,201708,,1.0,1.0
312,57,,,,,201801,201801,1.0,1.0,1.0
313,619,,,,,201812,201812,1.0,1.0,1.0
314,621,329,,,,201609,201703,,1.0,2.0
318,303,,,,,201110,201110,,,
319,628,,,,,201606,201606,,,1.0
320,630,,,,,201509,201509,,,
321,332,632,633,,,201501,201701,,1.0,1.0
322,26,637,637,,,201606,201809,1.0,1.0,3.0
325,641,,,,,201606,201606,,,1.0
327,26,645,,,,201209,201707,,1.0,1.0
331,651,651,,,,201501,201607,,,1.0
334,655,656,,,,201807,201808,2.0,2.0,2.0
337,657,,,,,201506,201506,,,
338,659,,,,,201808,201808,1.0,1.0,1.0
340,661,,,,,201806,201806,1.0,1.0,1.0
341,663,664,41,,,201604,201808,2.0,2.0,3.0
346,403,671,,,,201707,201806,1.0,2.0,2.0
348,450,450,27,,,201506,201806,2.0,2.0,2.0
350,679,,,,,201809,201809,1.0,1.0,1.0
351,681,682,,,,201407,201704,,1.0,1.0
352,686,687,,,,201706,201806,1.0,2.0,2.0
353,503,,,,,201807,201807,1.0,1.0,1.0
356,694,695,696,697,,201307,201705,,1.0,1.0
358,702,54,703,,,201609,201709,,1.0,3.0
361,26,709,,,,201608,201609,,,2.0
362,389,,,,,201806,201806,1.0,1.0,1.0
363,712,333,,,,201401,201508,,,
364,713,,,,,201608,201608,,,1.0
367,717,,,,,201411,201411,,,
369,26,,,,,201806,201806,1.0,1.0,1.0
370,723,,,,,201806,201806,1.0,1.0,1.0
372,727,728,,,,201311,201806,1.0,1.0,1.0
373,731,,,,,201806,201806,1.0,1.0,1.0
376,735,,,,,201806,201806,1.0,1.0,1.0
377,736,,,,,201807,201807,1.0,1.0,1.0
378,740,738,739,116,116,201006,201806,1.0,6.0,6.0
379,613,,,,,201806,201806,1.0,1.0,1.0
380,743,745,,,,201202,201801,1.0,1.0,1.0
383,750,,,,,201807,201807,1.0,1.0,1.0
384,751,752,,,,201507,201807,1.0,1.0,1.0
386,757,755,758,,,201806,201812,3.0,3.0,3.0
388,579,579,762,,,201506,201807,2.0,2.0,2.0
391,766,,,,,201706,201706,,1.0,1.0
393,769,770,,,,201307,201806,1.0,1.0,1.0
395,403,403,21,494,,201404,201811,1.0,1.0,2.0
398,774,,,,,201201,201201,,,
404,779,780,781,,,201309,201811,1.0,1.0,1.0
405,57,,,,,201804,201804,1.0,1.0,1.0
407,785,,,,,201806,201806,1.0,1.0,1.0
408,91,,,,,201807,201807,1.0,1.0,1.0
409,787,790,,,,201603,201803,1.0,1.0,2.0
410,352,354,355,16,353,201306,201809,1.0,1.0,4.0
411,794,794,,,,201802,201802,2.0,2.0,2.0
413,800,,,,,201807,201807,1.0,1.0,1.0
414,449,801,,,,201509,201810,1.0,1.0,1.0
416,241,239,239,242,,201505,201806,2.0,2.0,3.0
418,260,253,231,257,245,200612,201801,1.0,2.0,2.0
419,211,,,,,201407,201407,,,
420,57,64,,,,201107,201607,,,1.0
421,802,332,52,333,,201408,201808,1.0,1.0,2.0
422,323,322,321,324,324,201109,201806,3.0,3.0,3.0
425,308,806,807,713,,201207,201710,,1.0,1.0
426,23,,,,,201807,201807,1.0,1.0,1.0
429,810,811,812,813,,201307,201806,1.0,1.0,1.0
430,814,,,,,201709,201709,,1.0,1.0
431,470,403,403,471,,201309,201701,,1.0,2.0
432,817,818,,,,201607,201806,1.0,1.0,2.0
433,787,790,,,,201603,201803,1.0,1.0,2.0
434,659,659,,,,201511,201807,1.0,1.0,1.0
435,820,,,,,201812,201812,1.0,1.0,1.0
436,825,826,,,,201606,201610,,,2.0
437,460,461,461,,,200907,201707,,1.0,1.0
438,538,827,,,,201607,201808,1.0,1.0,2.0
439,134,134,273,830,,201311,201807,2.0,2.0,3.0
440,833,,,,,201707,201707,,1.0,1.0
441,834,834,834,,,200311,201101,,,
442,835,655,,,,201506,201808,1.0,1.0,1.0
443,836,837,,,,201007,201211,,,
444,838,839,,,,201707,201807,1.0,2.0,2.0
446,842,403,842,843,,201009,201707,,2.0,3.0
447,794,794,,,,201802,201802,2.0,2.0,2.0
448,27,,,,,201107,201107,,,
449,847,84,264,848,,201207,201811,1.0,2.0,2.0
450,849,21,,,,201706,201806,1.0,2.0,2.0
451,134,134,213,,,201706,201802,1.0,3.0,3.0
452,850,800,,,,201807,201809,2.0,2.0,2.0
453,68,,,,,201701,201701,,1.0,1.0
454,855,859,,,,201801,201805,2.0,2.0,2.0
455,47,413,414,88,88,201401,201801,1.0,1.0,2.0
456,453,453,453,,,201606,201803,1.0,2.0,3.0
457,860,,,,,201706,201706,,1.0,1.0
458,863,863,,,,201409,201611,,,1.0
460,341,342,,,,201604,201703,,1.0,2.0
461,864,47,865,866,867,200611,201205,,,
462,352,354,355,16,353,201306,201809,1.0,1.0,4.0
463,260,253,231,257,258,200612,201801,1.0,2.0,2.0
464,743,745,,,,201202,201801,1.0,1.0,1.0
465,871,,,,,201206,201206,,,
466,872,874,875,,,201306,201710,,1.0,1.0
467,345,346,347,348,289,200009,201801,1.0,1.0,1.0
468,787,790,,,,201603,201803,1.0,1.0,2.0
469,323,321,322,324,324,201109,201806,3.0,3.0,3.0
470,23,,,,,201807,201807,1.0,1.0,1.0
471,241,239,239,242,,201505,201806,2.0,2.0,3.0
474,303,,,,,201110,201110,,,
475,876,877,,,,201209,201711,,1.0,1.0
476,864,47,865,866,867,200611,201205,,,
477,341,342,,,,201604,201703,,1.0,2.0
478,260,253,231,257,258,200612,201801,1.0,2.0,2.0
479,880,881,882,883,,201103,201812,1.0,1.0,1.0
480,345,346,347,348,289,200009,201801,1.0,1.0,1.0
481,273,494,,,,201305,201608,,,1.0
482,345,346,347,348,289,200009,201801,1.0,1.0,1.0
483,855,859,,,,201801,201805,2.0,2.0,2.0
484,260,253,231,257,245,200612,201801,1.0,2.0,2.0
485,68,,,,,201701,201701,,1.0,1.0
486,561,,,,,201012,201012,,,
487,864,47,865,866,867,200611,201205,,,
489,884,884,27,,,201509,201806,1.0,2.0,2.0
490,888,,,,,201701,201701,,1.0,1.0
491,439,,,,,201109,201109,,,
492,352,354,355,16,353,201306,201809,1.0,1.0,4.0
495,895,,,,,201808,201808,1.0,1.0,1.0
497,898,899,900,,,201707,201807,2.0,3.0,3.0
499,904,905,901,901,906,201412,201811,2.0,5.0,5.0
501,346,909,910,,,201210,201811,2.0,2.0,2.0
502,911,911,26,213,,201606,201807,2.0,2.0,4.0
503,789,913,,,,201608,201807,1.0,1.0,2.0
504,914,,,,,201705,201705,,1.0,1.0
505,917,918,919,,,201706,201809,2.0,3.0,3.0
506,920,921,88,,,201407,201808,1.0,2.0,2.0
507,924,925,,,,201107,201311,,,
508,927,3,,,,201710,201807,1.0,2.0,2.0
509,928,929,,,,201608,201712,,1.0,2.0
510,931,932,933,,,201207,201812,1.0,1.0,2.0
511,134,,,,,201602,201602,,,1.0
512,936,389,938,,,201306,201807,1.0,1.0,1.0
513,26,,,,,201701,201701,,1.0,1.0
514,232,,,,,201806,201806,1.0,1.0,1.0
515,47,88,,,,201606,201803,1.0,1.0,2.0
517,944,,,,,201703,201703,,1.0,1.0
518,947,948,,,,201707,201808,1.0,2.0,2.0
520,5,,,,,201806,201806,1.0,1.0,1.0
521,953,954,955,,,201506,201807,1.0,1.0,2.0
522,959,430,324,960,961,201006,201708,,1.0,3.0
523,962,85,85,,,201404,201809,1.0,1.0,1.0
524,430,964,965,,,201505,201609,,,2.0
525,967,968,433,969,,201409,201801,1.0,1.0,3.0
527,972,,,,,201802,201802,1.0,1.0,1.0
528,976,,,,,201807,201807,1.0,1.0,1.0
530,980,26,740,981,982,200909,201809,1.0,3.0,3.0
531,986,26,,,,201709,201803,1.0,2.0,2.0
532,173,989,989,961,740,201408,201805,1.0,3.0,3.0
533,26,26,,,,201802,201806,2.0,2.0,2.0
534,993,994,,,,201506,201810,1.0,1.0,1.0
535,995,996,,,,201301,201709,,1.0,1.0
536,458,,,,,201802,201802,1.0,1.0,1.0
537,522,522,613,,,201406,201701,,1.0,2.0
539,1000,,,,,201807,201807,1.0,1.0,1.0
540,521,1001,1002,203,1003,201505,201805,1.0,3.0,5.0
541,372,806,,,,201709,201808,1.0,2.0,2.0
542,1007,1008,1006,1009,1010,201310,201805,1.0,1.0,2.0
543,1011,1012,1012,376,1013,201406,201801,1.0,2.0,3.0
544,1014,,,,,201704,201704,,1.0,1.0
545,1016,1017,,,,201404,201804,1.0,1.0,1.0
546,450,26,134,1018,,201506,201811,1.0,2.0,3.0
547,570,1020,1020,,,201606,201806,1.0,2.0,3.0
550,1026,1027,1028,,,201510,201808,1.0,1.0,2.0
552,1031,1032,1033,1034,1035,201105,201607,,,1.0
553,613,,,,,201801,201801,1.0,1.0,1.0
554,1037,,,,,201411,201411,,,
555,1041,,,,,201805,201805,1.0,1.0,1.0
556,26,,,,,201807,201807,1.0,1.0,1.0
557,1044,1044,1044,1044,1045,201207,201808,1.0,3.0,3.0
558,1048,1049,1050,1051,1052,200806,201804,1.0,2.0,2.0
559,839,27,,,,201803,201806,2.0,2.0,2.0
561,420,1058,,,,201806,201812,2.0,2.0,2.0
562,207,,,,,201708,201708,,1.0,1.0
564,888,,,,,201701,201701,,1.0,1.0
566,1068,,,,,201706,201706,,1.0,1.0
567,1070,,,,,201806,201806,1.0,1.0,1.0
569,1071,1072,1073,,,201506,201803,2.0,2.0,2.0
571,457,47,909,1076,1076,201306,201808,1.0,2.0,3.0
575,1084,33,1085,,,201508,201712,,1.0,2.0
577,1031,570,,,,201706,201806,1.0,2.0,2.0
579,194,,,,,201806,201806,1.0,1.0,1.0
580,161,740,,,,201401,201503,,,
581,26,,,,,201807,201807,1.0,1.0,1.0
582,1095,,,,,201807,201807,1.0,1.0,1.0
584,613,,,,,201807,201807,1.0,1.0,1.0
587,393,1103,1104,1105,1106,201409,201809,1.0,3.0,4.0
589,316,316,1108,,,201706,201809,2.0,3.0,3.0
590,602,,,,,201804,201804,1.0,1.0,1.0
591,1113,,,,,201808,201808,1.0,1.0,1.0
593,794,794,,,,201802,201802,2.0,2.0,2.0
594,912,,,,,201509,201509,,,
597,1124,,,,,201707,201707,,1.0,1.0
600,1057,1126,,,,201807,201809,2.0,2.0,2.0
601,613,,,,,201806,201806,1.0,1.0,1.0
602,1129,1130,1131,,,201609,201712,,2.0,3.0
603,1133,,,,,201710,201710,,1.0,1.0
604,1135,,,,,201806,201806,1.0,1.0,1.0
606,437,,,,,201807,201807,1.0,1.0,1.0
607,1139,1140,1141,,,201507,201812,1.0,1.0,2.0
608,1143,,,,,201806,201806,1.0,1.0,1.0
609,1145,,,,,201612,201612,,,1.0
610,204,1147,,,,201707,201807,1.0,2.0,2.0
613,1150,,,,,201807,201807,1.0,1.0,1.0
614,194,,,,,201806,201806,1.0,1.0,1.0
615,1154,1155,,,,201706,201809,1.0,2.0,2.0
617,1157,,,,,201609,201609,,,1.0
618,1159,23,,,,201807,201808,2.0,2.0,2.0
619,605,605,605,,,201606,201706,,2.0,3.0
620,1161,1162,1163,1164,,201211,201802,1.0,1.0,2.0
621,884,884,27,,,201509,201806,1.0,2.0,2.0
622,1165,1165,34,1166,314,201109,201712,,3.0,4.0
623,1170,,,,,201807,201807,1.0,1.0,1.0
624,1172,1173,1126,1174,1175,201010,201710,,3.0,4.0
625,91,,,,,201806,201806,1.0,1.0,1.0
628,1181,1182,,,,201405,201607,,,1.0
629,1183,1184,,,,201706,201712,,2.0,2.0
630,314,312,,,,201806,201808,2.0,2.0,2.0
631,621,,,,,201806,201806,1.0,1.0,1.0
632,1187,1188,264,1189,,201108,201706,,1.0,1.0
633,1190,,,,,201802,201802,1.0,1.0,1.0
635,1192,,,,,201707,201707,,1.0,1.0
637,1193,,,,,201407,201407,,,
638,1196,1197,1198,,,201406,201806,1.0,2.0,2.0
640,913,,,,,201806,201806,1.0,1.0,1.0
641,1201,375,,,,201801,201807,2.0,2.0,2.0
645,89,1074,,,,201706,201802,1.0,2.0,2.0
646,385,1204,,,,201606,201806,1.0,1.0,2.0
647,613,,,,,201706,201706,,1.0,1.0
648,1207,1207,1208,,,201109,201308,,,
649,68,,,,,201701,201701,,1.0,1.0
650,511,,,,,201706,201706,,1.0,1.0
652,352,354,355,16,353,201306,201809,1.0,1.0,4.0
654,122,,,,,201412,201412,,,
655,621,134,,,,201603,201802,1.0,1.0,2.0
656,439,,,,,201109,201109,,,
657,260,253,231,257,258,200612,201801,1.0,2.0,2.0
658,1209,1213,1212,,,201804,201811,3.0,3.0,3.0
659,89,350,,,,201707,201808,1.0,2.0,2.0
660,166,34,34,,,201604,201810,2.0,2.0,3.0
661,194,,,,,201702,201702,,1.0,1.0
662,1220,1221,1222,,,201308,201804,1.0,1.0,1.0
663,1091,1224,1225,,,201308,201605,,,1.0
664,1227,758,,,,200806,201609,,,1.0
665,47,,,,,201505,201505,,,
666,172,1230,,,,201001,201304,,,
667,911,911,26,213,,201606,201807,2.0,2.0,4.0
668,26,26,,,,201802,201805,2.0,2.0,2.0
669,708,,,,,201805,201805,1.0,1.0,1.0
670,740,,,,,201807,201807,1.0,1.0,1.0
671,1232,1232,1232,1232,1232,200909,201701,,2.0,3.0
672,1234,1235,,,,201308,201509,,,
673,1238,47,1239,1240,340,201307,201808,1.0,2.0,3.0
674,1241,1242,1243,,,201206,201508,,,
675,314,312,,,,201806,201808,2.0,2.0,2.0
676,433,1245,433,425,1246,201106,201711,,2.0,3.0
677,1247,713,713,1248,,201206,201709,,1.0,1.0
678,884,1249,305,,,201207,201503,,,
679,1238,1251,740,,,201308,201502,,,
680,352,354,355,16,353,201306,201809,1.0,1.0,4.0
681,794,794,,,,201802,201802,2.0,2.0,2.0
682,1209,1213,1212,,,201804,201811,3.0,3.0,3.0
683,260,253,231,257,245,200612,201801,1.0,2.0,2.0
684,385,1204,,,,201606,201806,1.0,1.0,2.0
685,68,,,,,201701,201701,,1.0,1.0
687,128,393,,,,200706,201407,,,
688,1253,,,,,201502,201502,,,
689,345,347,346,348,289,200009,201801,1.0,1.0,1.0
690,26,26,1255,1255,1256,201210,201710,,2.0,3.0
691,1257,,,,,201709,201709,,1.0,1.0
692,260,253,231,257,258,200612,201801,1.0,2.0,2.0
693,345,346,347,348,289,200009,201801,1.0,1.0,1.0
694,345,346,347,348,289,200009,201801,1.0,1.0,1.0
695,68,,,,,201701,201701,,1.0,1.0
696,260,253,231,257,245,200612,201801,1.0,2.0,2.0
700,231,1258,,,,199002,201708,,1.0,1.0
702,1262,26,,,,201602,201811,1.0,1.0,2.0
703,713,34,,,,201502,201811,1.0,1.0,1.0
704,24,24,1263,1264,1263,201305,201809,2.0,2.0,2.0
705,1265,,,,,201707,201707,,1.0,1.0
706,26,26,27,,,201308,201805,2.0,2.0,2.0
711,1270,,,,,201811,201811,1.0,1.0,1.0
712,26,26,1274,,,201706,201806,1.0,3.0,3.0
713,434,1276,1277,,,201508,201702,,1.0,2.0
714,52,,,,,201806,201806,1.0,1.0,1.0
715,376,,,,,201608,201608,,,1.0
716,310,,,,,201806,201806,1.0,1.0,1.0
717,1281,1071,,,,201606,201709,,1.0,2.0
718,800,1283,,,,201706,201806,1.0,2.0,2.0
719,813,,,,,201806,201806,1.0,1.0,1.0
720,713,,,,,201706,201706,,1.0,1.0
721,1286,1287,,,,201408,201811,1.0,1.0,1.0
722,26,41,,,,201806,201810,2.0,2.0,2.0
723,200,,,,,201608,201608,,,1.0
725,1157,21,21,,,201607,201807,1.0,2.0,3.0
727,26,,,,,201803,201803,1.0,1.0,1.0
728,1296,,,,,201807,201807,1.0,1.0,1.0
729,902,,,,,201512,201512,,,
731,961,,,,,201807,201807,1.0,1.0,1.0
732,1303,796,1304,,,201506,201701,,1.0,2.0
734,1064,305,1306,333,1307,201206,201801,1.0,3.0,3.0
735,1311,1312,,,,201509,201612,,,1.0
738,1313,1313,1313,136,,201207,201608,,,1.0
739,41,1315,1315,1316,1317,200507,201506,,,
741,307,309,307,310,41,201408,201806,2.0,5.0,6.0
742,1184,,,,,201807,201807,1.0,1.0,1.0
743,1324,47,333,1325,1326,201208,201510,,,
744,26,1330,,,,201608,201708,,1.0,2.0
745,1331,1331,,,,201601,201710,,1.0,2.0
746,1332,1333,1334,1335,,201408,201710,,2.0,3.0
747,350,1336,,,,201401,201808,1.0,1.0,1.0
748,1261,1338,1339,,,201007,201705,,1.0,1.0
749,1340,27,,,,201206,201501,,,
750,924,89,1344,1345,1346,201106,201809,1.0,2.0,3.0
751,1348,1349,,,,201606,201707,,1.0,2.0
752,132,1249,578,,,201704,201807,1.0,3.0,3.0
755,1353,,,,,201603,201603,,,1.0
756,341,352,,,,201706,201809,1.0,2.0,2.0
758,34,134,,,,201602,201807,1.0,1.0,2.0
760,1361,,,,,201807,201807,1.0,1.0,1.0
761,1362,1363,,,,201507,201809,1.0,1.0,1.0
762,1364,1365,,,,201508,201807,1.0,1.0,1.0
763,1367,1368,134,,,201509,201811,1.0,1.0,2.0
764,1369,796,,,,201601,201611,,,2.0
766,1371,,,,,201707,201707,,1.0,1.0
767,1373,1374,134,,,201510,201811,2.0,2.0,2.0
768,1375,1376,1376,1263,,201509,201807,1.0,1.0,3.0
770,289,1379,,,,201706,201801,1.0,2.0,2.0
773,1381,1381,1381,,,201503,201801,1.0,1.0,2.0
776,27,,,,,201309,201309,,,
779,1383,1384,1385,,,201607,201808,1.0,2.0,3.0
782,1387,1386,,,,200008,201810,1.0,1.0,1.0
783,787,790,,,,201603,201803,1.0,1.0,2.0
784,1388,,,,,201409,201409,,,
785,1390,,,,,200406,200406,,,
789,1064,,,,,201801,201801,1.0,1.0,1.0
791,260,253,231,257,245,200612,201801,1.0,2.0,2.0
792,324,,,,,201708,201708,,1.0,1.0
793,231,1258,,,,199002,201708,,1.0,1.0
794,1395,1396,,,,201606,201801,1.0,1.0,2.0
796,1398,1399,1400,989,,200705,201307,,,
797,1401,1401,1401,1402,1402,201408,201812,1.0,2.0,3.0
798,1404,1405,1406,1407,1408,200406,201805,1.0,1.0,1.0
799,713,34,,,,201502,201811,1.0,1.0,1.0
800,1410,52,1411,,,201207,201802,1.0,1.0,1.0
801,724,26,1413,,,201508,201704,,1.0,2.0
802,1414,609,1386,,,201006,201307,,,
803,1416,1416,,,,201305,201601,,,1.0
804,207,1418,,,,201611,201712,,1.0,2.0
805,1421,1422,1422,,,201506,201707,,1.0,2.0
806,1425,1425,,,,201502,201507,,,
807,1027,522,264,264,264,201308,201812,1.0,1.0,1.0
808,1238,669,948,1429,340,201107,201805,1.0,2.0,2.0
809,1431,1430,,,,201709,201808,1.0,2.0,2.0
810,612,,,,,201506,201506,,,
811,1261,1338,1339,,,201007,201705,,1.0,1.0
