user_id,associate degree,bachelor degree,master's degree,others,phd
383,,top1000tr,,,
384,,top1000tr,,,
385,,top1000tr,,,
386,,top1000tr,,,
387,,top1000tr,top30tr,,
388,,top1000tr,,top30tr,
389,,top1000tr,,,
390,,,,top30tr,
391,,top1000tr,,,
392,,others,,,
393,,top1000tr,,,
394,,top1000tr,others,,
395,,top1000tr,,,
396,,top1000tr,,,
398,,top1000tr,,,
399,,top1000tr,top1000tr,,
400,,top1000tr,,,
401,,,,top1000tr,
402,,top1000tr,,,
403,,top1000tr,,,
404,,top1000tr,,,
405,,,,top1000tr,
406,,top1000tr,,,
407,,top1000tr,,,
408,,top1000tr,top30tr,,
409,,others,,top1000tr,
410,,top1000tr,top30tr,,
411,,top1000tr,,,
412,,top1000tr,,,
413,,top1000tr,,,
414,,top1000tr,,,
415,,top1000tr,,,
416,,top1000tr,,,
417,,top1000tr,,,
418,,top1000tr,top1000tr,,
419,,top1000tr,,,
420,,top1000tr,,,
421,,top1000tr,,,
422,,,,top1000tr,
423,,top1000tr,,,
424,,top1000tr,,,
425,top30tr,,top1000tr,,
426,,top1000tr,,,
427,,top1000tr,others,,
428,,top1000tr,,,
429,,top1000tr,,,
430,,,,top1000tr,
431,,top1000tr,,,
433,,others,,top1000tr,
434,,top30tr,,top1000tr,
435,,,,top1000tr,
436,others,,,,
437,,top1000tr,,others,
438,,top1000tr,,,
439,,top1000tr,,,
440,,top1000tr,,,
441,,,,top50tr,
443,,top1000tr,top30tr,,
444,,top1000tr,top30tr,,
445,,top1000tr,,,
446,,top1000tr,,,
447,,top1000tr,,,
448,,top1000tr,others,others,
449,,top1000tr,top1000tr,others,
451,,top1000tr,,,
452,,top1000tr,,,
453,,top1000tr,,,
454,,top1000tr,,,
455,,top1000tr,,,
456,,top1000tr,top30tr,,
457,,top1000tr,,,
458,,top1000tr,,,
459,,top1000tr,top1000tr,,
460,,top1000tr,top50tr,,
461,,top1000tr,top30tr,others,
462,,top1000tr,top30tr,,
463,,top1000tr,top1000tr,,
464,top30tr,top1000tr,,,
465,,others,top1000tr,,
466,,top1000tr,,,
467,,,,top1000tr,
468,,others,,top1000tr,
469,,,,top1000tr,
470,,top1000tr,,,
471,,top1000tr,,,
472,,top1000tr,,,
474,,top30tr,others,,
475,,,,top1000tr,
476,,top1000tr,top30tr,others,
477,,top1000tr,top50tr,,
478,,top1000tr,top1000tr,,
479,,,,top1000tr,
480,,,,top1000tr,
481,,top1000tr,top1000tr,,
482,,,,top1000tr,
483,,top1000tr,,,
484,,top1000tr,top1000tr,,
485,,top1000tr,,,
486,top30tr,top1000tr,,others,
487,,top1000tr,top30tr,others,
488,,top1000tr,,,
489,,top1000tr,,,
490,,top1000tr,others,,
491,,top1000tr,,,
492,,top1000tr,top30tr,,
494,,top30tr,,top1000tr,
495,,top1000tr,,,
496,,,,top1000tr,
497,,top1000tr,top1000tr,,
499,,,,top1000tr,
500,,,,top1000tr,
501,,top1000tr,top30tr,,
502,,top1000tr,others,,
503,,top1000tr,,,
506,,top1000tr,,,
507,,top1000tr,,,
508,,top1000tr,,,
509,,top1000tr,,,
510,,,,top1000tr,
511,,top1000tr,,,
512,,,,top1000tr,
513,,top1000tr,,,
514,,top1000tr,,,
515,,top1000tr,,others,
516,,top1000tr,,,
517,,others,,,
518,,top1000tr,,,
519,,top1000tr,top30tr,,
520,,top1000tr,,,
521,,top30tr,others,,
522,,top1000tr,,,
523,,top50tr,,top30tr,
524,,,,top1000tr,
525,,top1000tr,,top30tr,
526,,top1000tr,,others,
527,,top1000tr,,others,
528,,top1000tr,,,
529,,top1000tr,,,
531,,top1000tr,,,
532,,top1000tr,,,
533,,,top1000tr,,
534,,top1000tr,,,
535,,top1000tr,,,
537,,,,top1000tr,
538,,,,top1000tr,
539,,top1000tr,,,
540,top30tr,top30tr,top30tr,top1000tr,
541,,top1000tr,,,
542,,top30tr,,others,
543,,top1000tr,,,
544,,top1000tr,,,
545,,top1000tr,,,
546,,top1000tr,,,
547,,,,top1000tr,
548,,top1000tr,,,
549,others,,,top1000tr,
550,,,top30tr,,
551,,top1000tr,,,
552,,top1000tr,,top30tr,
553,,top1000tr,,top30tr,
555,,top1000tr,,,
556,,top1000tr,,top30tr,
557,,top30tr,,,
558,,,,top1000tr,
559,,top1000tr,,,
560,,top1000tr,,,
561,,top1000tr,others,,
562,,top30tr,,,
563,,top1000tr,,,
564,,top1000tr,others,,
565,,,,top1000tr,
567,,top1000tr,,,
569,top1000tr,top30tr,,,
570,,top1000tr,,,
572,,top1000tr,,,
573,,top1000tr,,,
574,,top1000tr,,,
576,,top1000tr,,,
577,,top1000tr,,,
578,,top1000tr,,,
579,,top1000tr,,,
580,,,top1000tr,,
581,,top1000tr,,,
582,,top1000tr,,,
583,,,,top1000tr,
584,,top1000tr,,,
585,,,,top1000tr,
586,,top1000tr,,,
587,,top1000tr,,,
588,,others,,,
589,,top1000tr,,,
590,,top1000tr,others,,
591,,top1000tr,,others,
592,,top1000tr,,,
593,,top1000tr,,,
594,,top1000tr,,,
596,,top1000tr,,,
597,,top1000tr,top30tr,top30tr,
598,,top1000tr,,,
600,,top30tr,,top1000tr,
601,,top1000tr,,,
602,,others,,,
603,,top1000tr,,,
604,,top1000tr,,,
605,,top1000tr,,,
606,,top1000tr,,,
607,,top1000tr,,,
608,,,,top1000tr,
609,,top1000tr,,,
610,,top1000tr,,,
611,,top1000tr,,,
612,,,,top1000tr,
613,,top1000tr,,,
614,,top1000tr,,,
615,,top1000tr,,,
616,,top1000tr,top1000tr,,
617,,top1000tr,,,
618,,top1000tr,others,,
619,,top1000tr,,,
620,,top1000tr,,,
621,,top1000tr,,,
622,,top1000tr,,,
623,,top1000tr,others,,
624,,,,top1000tr,
625,,top1000tr,,,
626,,top1000tr,,,
627,,top1000tr,,,
628,top30tr,,,top1000tr,
630,,top1000tr,,,
631,,top1000tr,,,
632,,,,top1000tr,
633,,top1000tr,,,
634,,top1000tr,,,
635,,top1000tr,,,
637,,,,top1000tr,
638,,top1000tr,,top1000tr,
639,,top1000tr,,,
640,,top1000tr,,,
641,,top1000tr,,,
642,,,,top1000tr,
643,,top30tr,,,
644,,top1000tr,,,
645,,,top1000tr,,
646,,,,top1000tr,
647,,top1000tr,,,
648,,,,top30tr,
649,,top1000tr,,,
650,,,,top1000tr,
651,,top1000tr,,,
652,,top1000tr,top30tr,,
653,,top1000tr,top1000tr,,
654,,,others,,
655,,top1000tr,,,
656,,top1000tr,,,
657,,top1000tr,top1000tr,,
658,,top1000tr,top1000tr,others,
659,,,top1000tr,,
660,,top1000tr,,,
662,,top1000tr,others,,
663,,top1000tr,,,
664,top30tr,top1000tr,top50tr,others,
665,,others,others,,
667,,top1000tr,others,,
668,,top1000tr,,,
669,,,,top1000tr,
670,,top1000tr,,,
671,,top1000tr,,top30tr,
672,,,,top1000tr,
673,,top1000tr,,,
674,,top1000tr,top1000tr,,
675,,top1000tr,,,
676,,others,top30tr,,
677,,top1000tr,,,
678,,,,top1000tr,
679,,,,top1000tr,
680,,top1000tr,top30tr,,
681,,top1000tr,,,
682,,top1000tr,top1000tr,others,
683,,top1000tr,top1000tr,,
684,,,,top1000tr,
685,,top1000tr,,,
688,,top30tr,,,
689,,,,top1000tr,
690,,top1000tr,,,
691,,others,,top1000tr,
692,,top1000tr,top1000tr,,
693,,,,top1000tr,
694,,,,top1000tr,
695,,top1000tr,,,
696,,top1000tr,top1000tr,,
697,,top1000tr,,,
698,,top1000tr,,,
699,,,,top1000tr,
701,,others,others,top1000tr,
702,,top1000tr,,others,
704,others,top1000tr,,,
705,,top1000tr,,,
706,top30tr,top1000tr,,,
707,,top1000tr,,,
708,,top1000tr,,,
709,,,,top1000tr,
710,,top1000tr,,,
711,,others,,,
712,,top1000tr,,,
713,,top1000tr,,,
714,,top1000tr,top1000tr,,
715,,top1000tr,,,
716,,top1000tr,,others,
717,,top1000tr,,,
719,,top1000tr,,,
720,,top1000tr,,,
721,,top1000tr,top1000tr,,
722,,,,top1000tr,
723,,top1000tr,,,
724,,top1000tr,top30tr,,
725,,top1000tr,top1000tr,,
726,,top1000tr,,others,
727,,top1000tr,top1000tr,,
728,,top30tr,,,
729,top30tr,top30tr,,top30tr,
730,,,,top1000tr,
731,,others,others,top1000tr,
732,,top1000tr,,,
733,,,,top1000tr,
734,,top1000tr,,others,
735,,,,top1000tr,
736,,top1000tr,,top30tr,
737,,top1000tr,,,
738,,top1000tr,,,
740,,top1000tr,,,
741,,,,top30tr,
742,,top1000tr,,,
743,,top1000tr,,,
744,,top1000tr,,,
745,,,,top1000tr,
746,,top1000tr,,,
748,,top1000tr,others,,
749,,top1000tr,,,
750,,,,top1000tr,
751,,top1000tr,,,
752,,top1000tr,,,
753,top1000tr,,,,
754,,others,,top30tr,
756,,top1000tr,,,
757,top30tr,top1000tr,,,
758,,top1000tr,,,
759,,top1000tr,,,
760,,top1000tr,top30tr,,
761,,others,,top30tr,
763,,,,top1000tr,
764,,top1000tr,,,
765,,top1000tr,,,
767,,top1000tr,others,,
768,,top1000tr,,,
769,,top1000tr,,,
770,,top1000tr,top1000tr,,
771,,top1000tr,,,
773,,,,top1000tr,
774,,top1000tr,top1000tr,,
776,,top1000tr,,,
777,,top1000tr,,,
779,,top1000tr,,,
781,,top1000tr,,,
782,top1000tr,,others,top30tr,
783,,others,,top1000tr,
785,others,top1000tr,top30tr,,
786,,others,top1000tr,,
787,,top1000tr,,,
788,,top1000tr,,,
789,,top1000tr,,,
790,,top1000tr,,,
791,,top1000tr,top1000tr,,
792,,top1000tr,top1000tr,,
794,,top1000tr,,,
795,,top1000tr,,,
798,,top1000tr,others,others,
800,,top1000tr,top1000tr,,
802,,,,top1000tr,
803,,,top1000tr,,
804,,top1000tr,,,
805,,top1000tr,top30tr,others,
806,,top1000tr,,top30tr,
807,,,others,top1000tr,
808,,,,top1000tr,
809,,top1000tr,,,
810,,top1000tr,top30tr,,
811,,top1000tr,others,,
812,,top1000tr,,,
813,,top1000tr,,,
814,,top1000tr,,,
815,,top1000tr,,,
816,,top1000tr,others,,
817,,others,,top1000tr,
818,others,top1000tr,top30tr,,
821,,top1000tr,top1000tr,,
822,,top1000tr,,,
823,,top1000tr,,,
824,,top1000tr,,top1000tr,
825,,others,,top1000tr,
826,,top1000tr,,,
827,,top1000tr,,,
828,others,top1000tr,top30tr,,
829,top1000tr,,others,top30tr,
830,,top1000tr,top1000tr,,
831,top1000tr,,,,
832,,,,top1000tr,
833,,top1000tr,top1000tr,,
834,,top1000tr,,,
836,,top1000tr,others,,
837,,top1000tr,top30tr,,
838,,others,,,
839,,top1000tr,,,
840,,,,top1000tr,
841,,top1000tr,,,
842,,top1000tr,,top1000tr,
843,,top1000tr,,,
844,,top1000tr,,,
845,,top1000tr,,,
846,,top1000tr,,,
847,,top1000tr,,,
848,,top1000tr,,,
849,,top1000tr,others,,
850,,top1000tr,,,
851,,top30tr,top1000tr,,
852,,top1000tr,,,
853,,top1000tr,,,
854,,top1000tr,,,
855,,top1000tr,,,
856,,,,top1000tr,
857,,top1000tr,,,
858,top30tr,top1000tr,top1000tr,,
860,,top1000tr,,,
862,,top1000tr,,,
863,,top1000tr,,,
864,,others,,others,
865,,top1000tr,,,
866,,top1000tr,,,
867,,top1000tr,,,
869,,,others,,
870,,,,top1000tr,
871,,,,others,
872,,top1000tr,top1000tr,,
873,,,,top1000tr,
874,,top1000tr,,,
875,,top1000tr,others,,
876,,top1000tr,,,
877,,top1000tr,,,
878,,,,others,
879,,top1000tr,,,
880,,top1000tr,others,,
881,,top1000tr,,,
882,,top1000tr,top1000tr,,
883,,top1000tr,,,
884,,top1000tr,,,
885,,,top1000tr,,
887,,,,top1000tr,
888,,others,,,
890,,top1000tr,,,
891,,top1000tr,top30tr,,
892,,others,top1000tr,,
893,,top1000tr,,,
894,,top1000tr,,,
895,,top1000tr,,,
896,,,,top1000tr,
897,,top1000tr,,,
898,,,,top30tr,
899,,top1000tr,,,
900,,,others,,
901,,top1000tr,,,
903,,,,top1000tr,
904,,top1000tr,top30tr,,
905,,,,top1000tr,
906,,top1000tr,,,
907,,,,top1000tr,
908,,top1000tr,,,
909,,,,top1000tr,
911,,,,others,
912,,top30tr,top30tr,others,
913,,top1000tr,top30tr,,
914,,others,top1000tr,others,
915,,,top1000tr,top1000tr,
916,,,,top30tr,
917,,top1000tr,,,
918,,,,top30tr,
919,,top1000tr,,,
920,,top1000tr,,,
921,,top1000tr,top30tr,,
922,,top1000tr,,top30tr,
923,,top1000tr,,,
924,top30tr,top1000tr,,others,
925,,top1000tr,,,
926,,top1000tr,others,,
927,,top1000tr,,,
928,,top1000tr,,,
929,,top1000tr,top1000tr,,
931,,top1000tr,,,
932,,top1000tr,,,
933,,top1000tr,others,,
934,,top1000tr,,,
935,,top1000tr,,top30tr,
936,,top1000tr,,,
938,,top1000tr,,,
939,,,,top1000tr,
940,,top1000tr,,,
941,,,,top1000tr,
942,,,top1000tr,,
943,,top1000tr,,,
945,,,,top1000tr,
946,,top1000tr,,,
947,,top1000tr,,,
948,,top1000tr,,top30tr,
949,,top1000tr,,,
950,,top1000tr,,,
951,,top1000tr,,,
953,,top1000tr,top1000tr,,
954,,top1000tr,,,
955,,top1000tr,,,
957,,top1000tr,,,
958,,,,top1000tr,
959,,,top30tr,,
960,,top1000tr,,,
961,,top1000tr,,,
962,,top1000tr,,,
963,,top1000tr,,,
964,,top1000tr,,,
965,,,,top1000tr,
966,others,top1000tr,,top30tr,
968,,top1000tr,top1000tr,,
969,top30tr,top1000tr,,,
970,,top1000tr,,,
971,,top1000tr,top1000tr,,
972,,top1000tr,top1000tr,,
973,,top1000tr,,,
974,,,,top1000tr,
975,,top1000tr,others,,
976,,top1000tr,,,
977,,top1000tr,,,
978,,top1000tr,,,
979,,,,top1000tr,
980,top30tr,top1000tr,,,
981,,top1000tr,,,
982,,top1000tr,top1000tr,,
983,others,top1000tr,,others,
984,,top1000tr,,,
985,,top1000tr,,,
986,,top1000tr,,,
987,,top1000tr,,,
988,,top30tr,top1000tr,,
989,,,top1000tr,top1000tr,
990,,top30tr,,,
991,,top1000tr,top1000tr,,
992,top30tr,top1000tr,,top30tr,
993,,top1000tr,,,
994,,top1000tr,,,
995,,top1000tr,,,top50tr
996,,top1000tr,,,
997,,top1000tr,,,
998,,,,top1000tr,
999,,top1000tr,,others,
1000,,others,,top30tr,
1002,,,,top1000tr,
1003,,,,top1000tr,
1004,,top1000tr,,,
1006,,top1000tr,,top30tr,
1007,top30tr,top1000tr,,,
1008,,top1000tr,,top30tr,
1009,,top1000tr,,others,
1010,,top1000tr,,,
1011,top30tr,,,top30tr,
1012,,top1000tr,top50tr,top30tr,
1013,,top1000tr,,,
1014,,top1000tr,,,
1016,,top1000tr,,,
1017,,top1000tr,,,
1018,,top1000tr,,top1000tr,
1019,,top1000tr,,others,
1020,,top1000tr,,top30tr,
1021,,top1000tr,,,
1022,,top1000tr,,,
1023,,top1000tr,others,,
1024,,top1000tr,others,,
1025,,top1000tr,,top1000tr,
1026,,top1000tr,,,
1027,top1000tr,top1000tr,,,
1028,,,,top1000tr,
1029,,top1000tr,,others,
1030,,,others,,
1031,,top1000tr,,,
1032,,top1000tr,,,
1033,,top1000tr,,others,
1034,,top30tr,,,
1035,,top1000tr,,,
1036,,top1000tr,,,
1037,top50tr,top1000tr,,,
1038,,top1000tr,,top1000tr,
1039,,top1000tr,top30tr,,
1040,top30tr,top1000tr,,,
1041,,top1000tr,top1000tr,,
1042,,top1000tr,,,
1043,,top1000tr,,,
1044,,top1000tr,,,
1045,,,,top1000tr,
1046,,top1000tr,,,
1047,,top1000tr,,,
1049,,top1000tr,,,
1050,,top1000tr,top1000tr,,
1051,,top1000tr,,,
1052,,top1000tr,,,
1054,,,,others,
1055,,top1000tr,,,
1056,top1000tr,,,top30tr,
1057,,others,,top1000tr,
1058,,top1000tr,,,
1059,,top1000tr,,others,
1060,,top1000tr,top1000tr,,
1062,,top1000tr,,,
1063,,top1000tr,,,
1064,,,,others,
1065,,top1000tr,,,
1066,,top1000tr,,top30tr,
1067,,top1000tr,top50tr,,
1068,,top1000tr,,,
1069,,,,top1000tr,
1070,,top1000tr,,,
1071,,top1000tr,,,
1072,,top1000tr,,,
1074,,top1000tr,,,
1075,,top1000tr,top1000tr,others,
1076,,top1000tr,,,
1077,,top1000tr,,,
1078,,top1000tr,top1000tr,,
1079,,top1000tr,,others,
1080,,top30tr,,top1000tr,
1081,,,,top1000tr,
1082,,top1000tr,,,
1083,,,,top1000tr,
1084,,top1000tr,,,
1085,,,,top1000tr,
1086,,top1000tr,,,
1087,,top1000tr,,,
1088,,,,top30tr,top1000tr
1089,,others,,,
1090,,top1000tr,,,
1092,,top1000tr,,,
1093,,top1000tr,,top30tr,
1094,,top1000tr,,,
1095,top30tr,top1000tr,,,
1096,,top1000tr,,,
1097,,top1000tr,,,
1098,,top1000tr,,,
1099,,top1000tr,,,
1100,,,,top1000tr,
1101,,top1000tr,,,
1102,,top1000tr,,,
1103,,,,top1000tr,
1104,others,top1000tr,,,
1105,,top1000tr,,top30tr,
1106,,top1000tr,top30tr,,
1107,,top1000tr,,,
1108,,top1000tr,,,
1109,,top1000tr,,,
1111,top50tr,others,,top1000tr,
1112,,top1000tr,top30tr,,
1113,,top1000tr,,,
1114,,top1000tr,others,,
1115,top30tr,top1000tr,,others,
1116,,top1000tr,,,
1117,,top1000tr,,top30tr,
1118,,top1000tr,,,
1119,,top1000tr,,,
1120,,,top30tr,top1000tr,
1121,,top1000tr,,,
1122,,top1000tr,,,
1123,,top1000tr,,,
1124,,,,top1000tr,
1125,,,,top1000tr,
1126,,top30tr,top30tr,top1000tr,
1127,,top1000tr,others,,
1128,,top1000tr,,,
1129,,,,top1000tr,
1130,,top1000tr,,others,
1131,,top1000tr,,,
1132,,top1000tr,,,
1133,,top1000tr,,,
1134,,,,top1000tr,
1135,,,,top1000tr,
1136,,top1000tr,,,
1138,,top1000tr,,top1000tr,
1139,,,,top1000tr,
1141,,,others,,
1142,,top1000tr,,,
1143,top30tr,top1000tr,,,
1144,top30tr,top1000tr,,,
1145,,top1000tr,,,
1146,,top1000tr,top1000tr,,top1000tr
1147,,others,top1000tr,others,others
1148,,top1000tr,,,
1149,,,,top1000tr,
1150,,top1000tr,top1000tr,others,
1152,,,,top1000tr,
1153,,top1000tr,,,
1154,,top1000tr,,,
1155,,top1000tr,,,
1156,,top1000tr,top1000tr,,
1157,,top1000tr,,,
1158,,,,top1000tr,
1159,,top1000tr,,,
1160,,top1000tr,top1000tr,others,
1162,top30tr,top1000tr,top30tr,,
1163,,top1000tr,,,
1164,,,,top1000tr,
1165,,others,,others,top1000tr
1166,,top1000tr,top1000tr,others,top1000tr
1167,,others,,,
1169,,top1000tr,,,
1170,,top1000tr,,,
